Name,Cost,Old,Duration,Solo,Sale,Genuine,Delivered,Purchase Prize,Sell Prize,Rating,Want to play
Battle Line,3,3,0.25,No,No,No,Yes,3,,,
Mr. Jack Pocket,1.25,0,0.2,No,No,No,Yes,1.25,,,
Kakerlakenpoker,1,0,0.3,No,No,No,Yes,1,,,
Lost Cities,2,1,0.3,No,Yes,No,Yes,2,,,
Hanabi,10,0,0.4,No,No,No,Yes,10,,,
Mechs vs Minions,21,0,1.5,Yes,No,Yes,Yes,110,89,7,5
Star Realms,15,0,0.3,Yes,No,Yes,Yes,15,,8,7
Gloomhaven,82,0,3,Yes,No,Yes,Yes,82,,9,5
Stone Age,10,5,0.75,No,Yes,No,Yes,10,,,
Patchwork,20,0,0.4,No,No,Yes,Yes,20,,,
Palm Island,16,0,0.2,Yes,No,Yes,Yes,16,,9,8
7 Wonders,7,0,0.75,No,Yes,No,Yes,7,,,
Android: Netrunner,1115,402,0.5,No,No,Yes,Yes,1115,,,
Castles of Burgundy: Dice Game,11,0,0.3,Yes,No,Yes,Yes,11,,8,8
Splendor,22,0,0.5,No,No,No,Yes,22,,,
Sylvion,25,0,0.5,Yes,No,Yes,Yes,25,,8,7
Yinsh,35,0,0.5,No,No,Yes,Yes,35,,,
Warhammer Quest: ACG,47,0,1.5,Yes,No,Yes,Yes,47,,8,7
San Juan,4,0,0.5,No,Yes,No,Yes,4,,,
The Duke,35,0,0.5,No,No,Yes,Yes,35,,,
Pandemic Legacy,60,0,1.25,No,No,Yes,Yes,60,,,
Terraforming Mars,95,0,1,Yes,No,Yes,Yes,95,,9,9
Castles of Mad King Ludwig,50,11,1,No,No,Yes,Yes,50,,,
Castles of Burgundy: Card Game,22,0,0.75,Yes,Yes,Yes,Yes,22,,6,4
Bohnanza,2,0,0.33,No,No,No,Yes,2,,,
Love Letter,12,5,0.5,No,No,Yes,Yes,12,,,
Viticulture,90,0,1,Yes,No,Yes,Yes,90,,8,5
Glass Road,50,0,1,Yes,No,Yes,Yes,50,,8,7
Castellion,23,0,0.2,Yes,No,Yes,Yes,23,,8,7
Take 6!,1,0,0.1,No,Yes,No,Yes,1,,,
Mr. Jack,20,8,0.6,No,Yes,Yes,Yes,20,,,
Hive,35,10,0.15,No,No,Yes,Yes,35,,,
Discoveries,10.5,0,1,No,No,Yes,Yes,38,27.5,,
Sushi Go!,13,0,0.5,No,Yes,Yes,Yes,13,,,
Onirim,25,0,0.2,Yes,No,Yes,Yes,25,,6,4
Nations: The Dice Game,6.5,0,0.3,Yes,No,Yes,Yes,34,27.5,4,1
Viceroy,9,0,1,Yes,No,Yes,Yes,9,,8,8
Citadels,4,0,0.5,No,Yes,No,Yes,4,,,
Tash-Kalar,65,6,1,No,No,Yes,Yes,65,,,
Tramways Engineers Workbook,25,0,0.1,Yes,No,Yes,Yes,25,,9,9
Mint Works,10,0,0.2,Yes,No,Yes,Yes,10,,6,6
7 Wonders Duel,47,0,0.75,Variant,No,Yes,Yes,47,,8,6
Roads & Boats,125,0,1,Yes,No,Yes,Yes,125,,10,10
Tides of Time,10,0,0.5,No,Yes,Yes,Yes,10,,,
Super Motherload,50,0,1,No,No,Yes,Yes,50,,,
Tavarua,10,0,0.5,Yes,No,Yes,Yes,35,25,7,6
Valley of the Kings: Afterlife,15,0,0.7,Yes,Yes,Yes,Yes,15,,4,5
Marco Polo,40,0,1.25,No,No,Yes,Yes,40,,,
Scoville,47,0,1.5,No,No,Yes,Yes,47,,,
Lords of Waterdeep,14,2,1.5,No,Yes,Yes,Yes,35,21,,
Apex: Theropod,108,0,0.6,Yes,No,Yes,Yes,108,,9,7
Charterstone,62,0,1.5,Yes,No,Yes,Yes,62,,8,4
La Granja - No Siesta,22,0,1,Yes,No,Yes,Yes,22,,7,6
Quoridor,10,5,0.2,No,Yes,No,Yes,10,,,
Letters from Whitechapel,75,8,1.5,No,No,Yes,Yes,75,,,
Power Grid,30,4,1.5,No,Yes,Yes,Yes,30,,,
Five Tribes,80,0,1.25,Yes,No,Yes,Yes,80,,7,6
51st State,53,0,1,Yes,No,Yes,Yes,53,,9,8
Mage Knight,130,2,3,Yes,No,Yes,Yes,130,,10,7
Paperback,32,0,0.7,Yes,No,Yes,Yes,32,,7,6
Watten,9,0,0.15,No,No,Yes,Yes,9,,,
Spirit Island,107,0,1,Yes,No,Yes,Yes,107,,10,9
Sons of Anarchy,70,1,2,Yes,No,Yes,Yes,70,,7,5
Mage Wars Academy,11,0,0.6,No,No,Yes,Yes,11,,7,5
Cuba Libre,55,0,3,Yes,No,Yes,Yes,55,,9,9
Warhammer: Invasion,60,12,0.75,No,Yes,Yes,Yes,60,,,
Tiny Epic Galaxies,20,0,0.6,Yes,No,Yes,Yes,20,,6,5
Star Wars: Rebellion,88,0,4,Variant,No,Yes,Yes,88,,,5
Keyforge,62,0,0.5,No,No,Yes,Yes,62,,,
Renegade,42,0,0.5,Yes,No,Yes,Yes,42,,9,9
Puerto Rico,60,7,1,No,No,Yes,Yes,60,,,
A Game of Thrones - LCG,30,3,0.75,No,Yes,Yes,Yes,30,,,
Castles of Burgundy,40,4,1.5,No,No,Yes,Yes,40,,,
Mottainai,20,0,1,No,No,Yes,Yes,20,,,
The Resistance: Avalon,10,2,0.75,No,No,Yes,Yes,10,,,
Merchants & Marauders,60,0,3,Yes,No,Yes,Yes,60,,8,7
Dungeon Twister 2: Prison,40,4,1.5,Yes,No,Yes,Yes,40,,,6
Sherlock Holmes,40,1,4,Yes,No,Yes,Yes,40,,9,8
A Distant Plain,61,0,4,Yes,No,Yes,Yes,61,,9,7
Pandemic,100,8,1.25,Yes,No,Yes,Yes,100,,7,5
Scythe,291,0,1.5,Yes,No,Yes,Yes,291,,9,9
Fugitive,22,0,0.3,No,No,Yes,Yes,22,,,
Memoir 44,60,12,0.5,No,No,Yes,Yes,60,,,
Smash Up,18,0,0.6,No,Yes,Yes,Yes,18,,,
Ora et Labora,45,2,2,No,No,Yes,Yes,45,,,
Hero Realms,110,0,0.5,Yes,No,Yes,Yes,110,,8,8
The Gallerist,62,0,3,Yes,No,Yes,Yes,62,,9,8
Limes,14,0,0.2,Yes,No,Yes,Yes,14,,8,7
Nusfjord,65.5,0,0.5,Yes,No,Yes,Yes,65.5,,9,9
FUSE,32,0,0.2,Yes,No,Yes,Yes,32,,10,9
One Deck Dungeon,8,0,1,Yes,Yes,No,Yes,8,,6,4
Mysterium,60,0,1,No,No,Yes,Yes,60,,,
Eclipse,95,2,2,No,No,Yes,Yes,95,,,
Oh my Goods,34,0,0.8,Yes,No,Yes,Yes,34,,7,5
Jaipur,25,0,0.6,No,No,No,Yes,25,,,
Star Wars - LCG,42,2,0.75,Yes,Yes,Yes,Yes,42,,7,4
Imperial Settlers,125,5,1,Yes,No,Yes,Yes,125,,9,8
ACBAS,45,4,0.75,No,No,Yes,Yes,45,,,
Pandemic: The Cure,80,0,0.5,Yes,No,Yes,Yes,80,,8,8
Alchemists,93,0,2,Variant,No,Yes,Yes,93,,,7
Aeons End,80,0,1,Yes,No,Yes,Yes,80,,8,7
Arkham Horror - LCG,364,0,1,Yes,No,Yes,Yes,364,,9,8
Finished!,11,0,0.5,Yes,No,Yes,Yes,11,,6,5
Coffee Roaster,23,0,1,Yes,No,Yes,Yes,23,,8,7
Timeline,12,0,0.1,No,Yes,Yes,Yes,12,,,
Navajo Wars,120,0,3,Yes,No,Yes,Yes,120,,9,7
Village,75,0,2,No,No,Yes,Yes,75,,,
Kodama,17,0,0.5,Variant,No,Yes,Yes,17,,8,7
Legends of Andor,50,0,1,Yes,No,Yes,Yes,50,,8,8
Onitama,34,0,0.5,No,No,Yes,Yes,34,,,
Eminent Domain: Microcosm,10,0,0.25,No,Yes,Yes,Yes,10,,,
...and then we held hands,19,0,0.5,No,Yes,Yes,Yes,19,,,
Brew Crafters: Card game,9,0,0.3,Yes,Yes,Yes,Yes,9,,4,2
Sentinels of the Multiverse,130,0,1,Yes,No,Yes,Yes,130,,8,7
Burgle Bros,44,0,1.5,Yes,No,Yes,Yes,44,,7,6
Fury of Dracula,52.5,0,2,No,No,Yes,Yes,52.5,,,
Nautilion,20,0,0.3,Yes,No,Yes,Yes,20,,7,6
Steampunk Rally,42.5,0,1,Yes,No,Yes,Yes,42.5,,8,8
Aventuria,33,0,1,Yes,No,Yes,Yes,33,,6,4
Urbion,13,0,3,Yes,No,Yes,Yes,13,,9,8
Specter Ops,75,0,1.25,No,No,Yes,Yes,75,,,
Race! Formula 90,150,0,2,Yes,No,Yes,Yes,150,,8,7
Crokinole,103,0,0.5,No,No,Yes,Yes,103,,,
Dice Masters,20,6,0.25,No,Yes,Yes,Yes,20,,,
Doomtown Reloaded,40,2,1,Yes,No,Yes,Yes,40,,7,5
Robinson Crusoe,75,0,1.25,Yes,No,Yes,Yes,75,,8,6
Legends of Andor: Chada and Thorn,15,0,0.5,Yes,No,Yes,Yes,15,,7,6
Twilight Struggle,70,1,2,No,No,Yes,Yes,70,,,
Formula Motor Racing,17.5,0,1,No,No,Yes,Yes,17.5,,,
Codenames,21,0,0.3,No,No,Yes,Yes,21,,,
Forge War,47,0,2.5,Yes,No,Yes,Yes,47,,8,8
March of the Ants,62,0,0.75,Yes,No,Yes,Yes,62,,8,7
Biblios,12,0,0.5,No,Yes,No,Yes,12,,,
Star Wars: Empire vs Rebellion,12,0,1,No,Yes,Yes,Yes,12,,,
Grand Austria Hotel,60,0,1.5,No,No,Yes,Yes,60,,,
Eldritch Horror,186,0,3,Yes,No,Yes,Yes,186,,7,6
Too Many Bones,400,0,1.5,Yes,No,Yes,Yes,400,,9,8
Camel Cup,40,0,1,No,No,Yes,Yes,40,,,
Super Rhino,11,0,0.2,No,No,Yes,Yes,11,,,
7th Continent,178,0,1,Yes,No,Yes,Yes,178,,5,5
Raptor,25,0,0.6,No,No,Yes,Yes,25,,,
Cottage Garden,22,0,0.75,Yes,No,Yes,Yes,22,,7,7
Detective,44,0,3,Yes,No,Yes,Yes,44,,8,8
1066 Tears to many mothers,57,0,1,Yes,No,Yes,Yes,57,,8,8
Nothing Personal,60,0,2,No,No,Yes,Yes,60,,,
Dvonn,35,0,0.5,No,No,Yes,Yes,35,,,
Fields of Arle,110,0,1,Yes,No,Yes,Yes,110,,9,9
Stronghold,75,0,2,No,No,Yes,Yes,75,,,
Isle of Skye,36,0,1,No,No,Yes,Yes,36,,,
Friday,18,0,0.5,Yes,No,Yes,Yes,18,,7,5
New Angeles,70,0,1.5,Yes,No,Yes,Yes,70,,8,8
Fire in the Lake,70,0,5,Yes,No,Yes,Yes,70,,9,6
Rallyman,128,0,0.5,Yes,No,Yes,Yes,128,,8,8
Hoplomachus Origins,70,0,1,Yes,No,Yes,Yes,70,,7,7
Innovation,15,0,1,No,Yes,Yes,Yes,15,,,
CO2,37.5,0,2.5,Yes,No,Yes,Yes,37.5,,8,7
Lisboa,77,0,2,Yes,No,Yes,Yes,77,,9,7
Xenoshyft,45,0,0.5,Yes,No,Yes,Yes,45,,8,7
King of NY,35,2,0.75,No,Yes,Yes,Yes,35,,,
Tiny Epic Western,32,0,1,Yes,No,Yes,Yes,32,,6,5
Fallout,50,0,1.5,Yes,No,Yes,Yes,50,,7,6
Labyrinth,100,0,3,Yes,No,Yes,Yes,100,,8,8
Hostage Negotiator,52,0,0.3,Yes,No,Yes,Yes,52,,7,6
El Alamein,43,0,2,Yes,No,Yes,Yes,43,,4,4
Falling Sky,70,0,3.5,Yes,No,Yes,Yes,70,,8,5
At the Gates of Loyang,55,0,1,Yes,No,Yes,Yes,55,,9,7
Dice Settlers,52.5,0,1,Yes,No,Yes,Yes,52.5,,8,8
Orleans,73,0,1,Yes,No,Yes,Yes,73,,8,7
Pünct,35,0,0.7,No,No,Yes,Yes,35,,,
Imperial Assault,820,1,2,Yes,No,Yes,Yes,820,,9,9
Through the Ages,75,0,4,No,No,Yes,Yes,75,,,
Gold West,47,0,1.5,No,No,Yes,Yes,47,,,
The Prodigals Club,38,0,2,Variant,No,Yes,Yes,38,,7,8
Mission: Red Planet,43,0,1,No,No,Yes,Yes,43,,,
Kemet,58,0,1.5,No,No,Yes,Yes,58,,,
Roll Player,87,0,1,Yes,No,Yes,Yes,87,,8,8
Vinhos Deluxe,79,0,1.5,Yes,No,Yes,Yes,79,,8,6
Android: Mainframe,30,0,0.5,No,No,Yes,Yes,30,,,
The Grizzled,20,0,0.5,No,Yes,Yes,Yes,20,,,
Colt Express,25,0,1,No,No,Yes,Yes,25,,,
Istanbul,30,0,1.5,No,Yes,Yes,Yes,30,,,
Fog of Love,40,0,1.5,No,No,Yes,Yes,40,,,
Century Spice Road,30,0,1.5,Yes,No,Yes,Yes,30,,6,5
Nations,40,0,1,Yes,No,Yes,Yes,100,60,5,4
B-Sieged,61,0,2.5,Yes,No,Yes,Yes,61,,7,5
Dawn of the Zeds,82,0,2,Yes,No,Yes,Yes,82,,8,5
A Feast for Odin,104,0,1,Yes,No,Yes,Yes,104,,9,6
Founders of Gloomhaven,42,0,2,Yes,No,Yes,Yes,42,,9,8
Caverna - Cave vs Cave,42,0,0.5,Yes,No,Yes,Yes,42,,8,7
WoW - Adventure game,55,0,2.5,No,No,Yes,Yes,55,,3,2
The Pursuit of Happiness,80,0,1,Yes,No,Yes,Yes,80,,7,6
Kaosball,90,0,2,No,No,Yes,Yes,90,,,
Witches of the Revolution,45,0,1,Yes,No,Yes,Yes,45,,8,7
New Bedford,46,0,1,Yes,No,Yes,Yes,46,,8,7
Time Stories,75,0,1,Yes,No,Yes,Yes,75,,6,5
Vinhos,60,0,3,No,No,Yes,Yes,60,,8,2
Petrichor,48,0,1,Yes,No,Yes,Yes,48,,7,7
Gugong,54,0,1,Yes,No,Yes,Yes,54,,,
X-Wing,559,7,1.5,No,No,Yes,Yes,559,,,
Epic,12.5,0,0.5,No,Yes,Yes,Yes,12.5,,,
Kanban,50,0,2,Yes,No,Yes,Yes,50,,8,8
Silverton,113,0,1,Yes,No,Yes,Yes,113,,8,8
Tabletop Curling,23,0,0.3,No,No,Yes,Yes,23,,,
Race for the Galaxy,57,0,0.5,Yes,Yes,Yes,Yes,57,,8,6
Warfighter,65,0,2,Yes,No,Yes,Yes,65,,7,6
Lord of the Rings - LCG,655,16,0.5,Yes,No,Yes,Yes,655,,9,8
Salvation Road,60,0,1.5,Yes,No,Yes,Yes,60,,7,5
La Granja,40,0,1,Yes,No,Yes,Yes,40,,8,6
Discworld,70,0,1.5,No,No,Yes,Yes,70,,,
Freedom: The Underground Railroad,57,0,0.5,Yes,No,Yes,Yes,57,,8,7
Vast: The Crystal Cavern,50,0,1,Yes,No,Yes,Yes,50,,3,3
Pax Porfiriana,43,0,1.5,Yes,No,Yes,Yes,43,,8,6
Bomb Squad,35,0,0.4,No,No,Yes,Yes,35,,,
Dungeon Petz,60,0,2,No,No,Yes,Yes,60,,,
Space Empires: 4X,60,0,2,Yes,No,Yes,Yes,60,,8,7
This War of Mine,60,0,0.5,Yes,No,Yes,Yes,60,,8,8
The Manhattan Project: Chain Reaction,12,0,0.3,Yes,No,Yes,Yes,12,,3,3
Sheriff of Nottingham,40,0,1,No,No,Yes,Yes,40,,,
Tiny Epic Quest,33,0,1,Yes,No,Yes,Yes,33,,5,4
Reykholt,45,0,0.75,Yes,No,Yes,Yes,45,,7,7
Healthy Heart Hospital,50,0,1.5,Yes,No,Yes,Yes,50,,7,7
Triplock,34,0,0.5,Yes,No,Yes,Yes,34,,6,6
Pentaquark,10.5,0,0.3,Yes,No,Yes,Yes,10.5,,,
Twin Stars: Adventure Series,10.5,0,0.3,Yes,No,Yes,Yes,10.5,,,
Sprawlopolis,10.5,0,0.3,Yes,No,Yes,Yes,10.5,,,
Leaving Earth,53,0,2,Yes,No,Yes,Yes,53,,8,6
Far Space Foundry,57,0,0.4,Yes,No,Yes,Yes,57,,8,8
Walnut Grove,45,0,1,Yes,No,Yes,Yes,45,,8,7
Blood Rage,75,0,2,No,No,Yes,Yes,75,,,
Thunderbolt Apache Leader,78,0,1,Yes,No,Yes,Yes,78,,8,7
Clans of Caledonia,60,0,1,Yes,No,Yes,Yes,60,,8,8
Lewis & Clark,40,0,1.5,Yes,No,Yes,Yes,40,,8,6
Black Orchestra,60,0,1,Yes,No,Yes,Yes,60,,7,7
WoW - Boardgame,165,0,4,Yes,No,Yes,Yes,165,,7,8
Rokoko,64,0,1.5,No,No,Yes,Yes,64,,,
Deep Space D-6,30,0,0.5,Yes,No,Yes,Yes,30,,6,7
The Networks,44,0,0.5,Yes,No,Yes,Yes,44,,8,7
Circle the Wagons,14,0,0.3,Yes,No,Yes,Yes,14,,,
Santorini,64,0,0.2,No,No,Yes,Yes,64,,,
Food Chain Magnate,100,0,3,Variant,No,Yes,Yes,100,,,8
Liberty or Death,76,0,4,Yes,No,Yes,Yes,76,,8,6
Space Cadets: Away Missions,88,0,1.5,Yes,No,Yes,Yes,88,,8,8
Brew Crafters,52,0,1,Variant,No,Yes,Yes,52,,7,7
Pandemic Legacy S2,83,0,1.2,No,No,Yes,Yes,83,,,
Infection,39,0,1,Yes,Yes,Yes,Yes,39,,7,7
Gem Rush,29,0,0.5,Yes,No,Yes,Yes,29,,8,7
Monza,24,0,0.2,No,No,Yes,Yes,24,,,
Space Hulk: Death Angel,56,0,0.75,Yes,No,Yes,Yes,56,,8,6
Town Center,40,0,0.5,Yes,No,Yes,Yes,40,,8,7
Mansions of Madness,404,0,2,Yes,No,Yes,Yes,404,,8,9
Flick Em Up!,91,0,1,No,No,Yes,Yes,91,,,
Flatline,48,0,0.5,Yes,No,Yes,Yes,48,,6,6
Firefly,194,0,2,Yes,No,Yes,Yes,194,,7,8
Once upon a time,30,0,0.3,No,Yes,Yes,Yes,30,,,
Escape: Curse of the Temple,42,0,0.2,No,Yes,Yes,Yes,42,,,
The Jarl,38,0,0.5,No,No,Yes,Yes,38,,,
Mr. Jack NY,4,0,0.5,No,No,No,Yes,4,,,
Pit,3,0,0.25,No,Yes,No,Yes,3,,,
Tichu,1.5,0,0.25,No,Yes,No,Yes,1.5,,,
Wizard,3.5,0,0.25,No,Yes,No,Yes,3.5,,,
Warhammer: Diskwars,90,0,1,No,No,Yes,Yes,90,,,
Pax Renaissance,50,0,1,No,No,Yes,Yes,50,,,
One Night Revolution,24,0,0.5,No,No,Yes,Yes,24,,,
Spyfall,13,0,1,No,No,Yes,Yes,13,,,
Pocket Battles: Conf. vs Union,10,0,0.5,No,Yes,Yes,Yes,10,,,
One Zero One,9,0,1,No,Yes,Yes,Yes,9,,,
Pick the Lock,9,0,0.5,No,Yes,Yes,Yes,9,,,
Anachrony,85,0,1.5,Yes,No,Yes,Yes,85,,,
Sword & Sorcery,58,0,1.5,Yes,No,Yes,Yes,58,,,
Nemo's War,65,0,1.5,Yes,No,Yes,Yes,65,,,
Genesys,170,0,2,Yes,No,Yes,Yes,170,,,
D-Day at Omaha Beach,75,0,2.5,Yes,No,Yes,Yes,75,,,
Bios: Megafauna,60,0,1.5,Yes,No,Yes,Yes,60,,,
Conflict of Heroes,100,0,1.5,Yes,No,Yes,Yes,100,,,
Bottom of the 9th,17,0,0.5,Yes,No,Yes,Yes,17,,,
Android,36,0,1.5,Variant,No,Yes,Yes,36,,,
Gears of War,122,0,1.5,Yes,No,Yes,Yes,122,,,
Bios: Genesis,58,0,1.5,Yes,No,Yes,Yes,58,,,
Neanderthal,40,0,1.5,Yes,No,Yes,Yes,40,,,
Greenland,40,0,1.5,Yes,No,Yes,Yes,40,,,
Comanchería,76,0,3,Yes,No,Yes,Yes,76,,,
War of the Ring,105,0,5,Variant,No,Yes,Yes,105,,,
Sherlock Holmes 2,65,0,2,Yes,No,Yes,Yes,65,,,
Sherlock Holmes 3,50,0,2,Yes,No,Yes,Yes,50,,,
World of Warcraft TCG,88,0,0.5,Variant,No,Yes,Yes,88,,,
Discover: Lands Unknown,52,0,1,Yes,No,Yes,Yes,52,,,
Firefly Adventures,75,0,0.5,Yes,No,Yes,Yes,75,,,
Teotihuacan,54,0,1,Yes,No,Yes,Yes,54,,,
Snowdonia,135,0,1,Yes,No,Yes,No,135,,,
D-Day Dice,46,0,1,Yes,No,Yes,No,46,,,
Brook City,100,0,1,Yes,No,Yes,No,100,,,
Tainted Grail,75,0,0.5,Yes,No,Yes,No,75,,,
Aerion,24,0,0.5,Yes,No,Yes,No,24,,,